# Mastery XP table generated from data/conf/mastery-level.properties
# Columns: level;xp_required_for_next_level;total_xp_to_reach_level
level;xp_required_for_next_level;total_xp_to_reach_level
1;555000;555000
2;560000;1115000
3;565000;1680000
4;570000;2250000
5;575000;2825000
6;580000;3405000
7;585000;3990000
8;590000;4580000
9;595000;5175000
10;600000;5775000
11;605000;6380000
12;610000;6990000
13;615000;7605000
14;620000;8225000
15;625000;8850000
16;630000;9480000
17;635000;10115000
18;640000;10755000
19;645000;11400000
20;650000;12050000
21;655000;12705000
22;660000;13365000
23;665000;14030000
24;670000;14700000
25;675000;15375000
26;680000;16055000
27;685000;16740000
28;690000;17430000
29;695000;18125000
30;700000;18825000
31;705000;19530000
32;710000;20240000
33;715000;20955000
34;720000;21675000
35;725000;22400000
36;730000;23130000
37;735000;23865000
38;740000;24605000
39;745000;25350000
40;750000;26100000
41;755000;26855000
42;760000;27615000
43;765000;28380000
44;770000;29150000
45;775000;29925000
46;780000;30705000
47;785000;31490000
48;790000;32280000
49;795000;33075000
50;800000;33875000
51;805000;34680000
52;810000;35490000
53;815000;36305000
54;820000;37125000
55;825000;37950000
56;830000;38780000
57;835000;39615000
58;840000;40455000
59;845000;41300000
60;850000;42150000
61;855000;43005000
62;860000;43865000
63;865000;44730000
64;870000;45600000
65;875000;46475000
66;880000;47355000
67;885000;48240000
68;890000;49130000
69;895000;50025000
70;900000;50925000
71;905000;51830000
72;910000;52740000
73;915000;53655000
74;920000;54575000
75;925000;55500000
76;930000;56430000
77;935000;57365000
78;940000;58305000
79;945000;59250000
80;950000;60200000
81;955000;61155000
82;960000;62115000
83;965000;63080000
84;970000;64050000
85;975000;65025000
86;980000;66005000
87;985000;66990000
88;990000;67980000
89;995000;68975000
90;1000000;69975000
91;1005000;70980000
92;1010000;71990000
93;1015000;73005000
94;1020000;74025000
95;1025000;75050000
96;1030000;76080000
97;1035000;77115000
98;1040000;78155000
99;1045000;79200000
100;1075000;80275000
101;1212000;81487000
102;1224000;82711000
103;1236000;83947000
104;1248000;85195000
105;1260000;86455000
106;1272000;87727000
107;1284000;89011000
108;1296000;90307000
109;1308000;91615000
110;1320000;92935000
111;1332000;94267000
112;1344000;95611000
113;1356000;96967000
114;1368000;98335000
115;1380000;99715000
116;1392000;101107000
117;1404000;102511000
118;1416000;103927000
119;1428000;105355000
120;1440000;106795000
121;1452000;108247000
122;1464000;109711000
123;1476000;111187000
124;1488000;112675000
125;1500000;114175000
126;1512000;115687000
127;1524000;117211000
128;1536000;118747000
129;1548000;120295000
130;1560000;121855000
131;1572000;123427000
132;1584000;125011000
133;1596000;126607000
134;1608000;128215000
135;1620000;129835000
136;1632000;131467000
137;1644000;133111000
138;1656000;134767000
139;1668000;136435000
140;1680000;138115000
141;1692000;139807000
142;1704000;141511000
143;1716000;143227000
144;1728000;144955000
145;1740000;146695000
146;1752000;148447000
147;1764000;150211000
148;1776000;151987000
149;1788000;153775000
150;1800000;155575000
151;1812000;157387000
152;1824000;159211000
153;1836000;161047000
154;1848000;162895000
155;1860000;164755000
156;1872000;166627000
157;1884000;168511000
158;1896000;170407000
159;1908000;172315000
160;1920000;174235000
161;1932000;176167000
162;1944000;178111000
163;1956000;180067000
164;1968000;182035000
165;1980000;184015000
166;1992000;186007000
167;2004000;188011000
168;2016000;190027000
169;2028000;192055000
170;2040000;194095000
171;2052000;196147000
172;2064000;198211000
173;2076000;200287000
174;2088000;202375000
175;2100000;204475000
176;2112000;206587000
177;2124000;208711000
178;2136000;210847000
179;2148000;212995000
180;2160000;215155000
181;2172000;217327000
182;2184000;219511000
183;2196000;221707000
184;2208000;223915000
185;2220000;226135000
186;2232000;228367000
187;2244000;230611000
188;2256000;232867000
189;2268000;235135000
190;2280000;237415000
191;2292000;239707000
192;2304000;242011000
193;2316000;244327000
194;2328000;246655000
195;2340000;248995000
196;2352000;251347000
197;2364000;253711000
198;2376000;256087000
199;2388000;258475000
200;2450000;260925000
201;2412000;263337000
202;2424000;265761000
203;2436000;268197000
204;2448000;270645000
205;2460000;273105000
206;2472000;275577000
207;2484000;278061000
208;2496000;280557000
209;2508000;283065000
210;2520000;285585000
211;2532000;288117000
212;2544000;290661000
213;2556000;293217000
214;2568000;295785000
215;2580000;298365000
216;2592000;300957000
217;2604000;303561000
218;2616000;306177000
219;2628000;308805000
220;2640000;311445000
221;2652000;314097000
222;2664000;316761000
223;2676000;319437000
224;2688000;322125000
225;2700000;324825000
226;2712000;327537000
227;2724000;330261000
228;2736000;332997000
229;2748000;335745000
230;2760000;338505000
231;2772000;341277000
232;2784000;344061000
233;2796000;346857000
234;2808000;349665000
235;2820000;352485000
236;2832000;355317000
237;2844000;358161000
238;2856000;361017000
239;2868000;363885000
240;2880000;366765000
241;2892000;369657000
242;2904000;372561000
243;2916000;375477000
244;2928000;378405000
245;2940000;381345000
246;2952000;384297000
247;2964000;387261000
248;2976000;390237000
249;2988000;393225000
250;3000000;396225000
251;3012000;399237000
252;3024000;402261000
253;3036000;405297000
254;3048000;408345000
255;3060000;411405000
256;3072000;414477000
257;3084000;417561000
258;3096000;420657000
259;3108000;423765000
260;3120000;426885000
261;3132000;430017000
